ParticipantId	SampleCode	contdag	gesl2	LFTB	pershuis	Lftpershuis1	Lftpershuis2	Lftpershuis3	Lftpershuis4	Lftpershuis5	Lftpershuis6	Lftpershuis7	Lftpershuis8	Lftpershuis9	Lftpershuis10	contpers0tot9	contpers10tot19	contpers20tot29	contpers30tot39	contpers40tot49	contpers50tot59	contpers60tot69	contpers70tot79	contpers80tot89	contpers90plus	contpers0tot4	contpers5tot9	pershuisv2
4	13600486		2	-0	6	0	2	4	6	29	29																	6
6	13600068	2	1	-0	4	0	6	32	38												2							4
8			2	-0	4	0	4	30	32																			4
9	13600001		2	-0	5	6	9	32	36																			5
12	13600531		2	-0	3	31	33																					3
15	13600506	1	1	-0	3	30	37									1			2							1		3
18		4	2	0	3	32	37											5		2								3
20		2	1	0	3	1	35	36								1			3			2				1		3
22	13600552	7	2	0	3	32	42									1										1		3
27		3	2	0	3	31	37														1							3
29	13600551	1	1	0	4	0	2	32	33							4		3								4		4
31		3	2	0	3	30	31														2							3
32	13600013		1	0	4	3	29	31																				4
34	13600025	6	2	0	3	27	28														2							3
36	13600021	1	1	0	4	1	5	29	32							2					1					2		4
38		7	1	0	4	3	30	31										2										4
39	13600560	6	1	1	5	6	7	34	37							4		1	3	3	2	4		1			4	5
40			2	1	5	4	6	30	30																			5
46		2	1	1	3	1	31	34													1	1						3
47	13600003	2	2	1	4	69	73									1			1		1					1		4
48	13600034	3	1	2	4	2	3	32	33							4		1	3		2					4		4
54		3	2	2	4	0	28	29								1		2	1	1	2					1		4
55		2	1	2	4	5	35	37								10			4	2						10		4
57	13600010	1	2	2	5	0	5	39	50							2			1		1					1	1	5
60	13600498	5	1	3	4	6	37	38								2			2							1	1	4
62		7	1	3	3	30	32									3		1	2		1					1	2	3
63	13600509	7	1	3	3	3	38	42								1			1		1							3
64	13600510	5	1	3	4	3	5	39	41							7		2	1			1				6	1	4
66		6	2	3	4	1	36	36								4		3	2		2	2				1	3	4
67	13600012	1	2	3	4	5	35	36								5			3		2					3	2	4
70	13600491	1	2	3	4	1	3	25	31								4	4	1		2	2						4
71		1	1	3	5	2	6	29	31									1	1									5
73	13600045	2	2	4	4	6	33	37								25	1		1							12	13	4
78	13600058	1	1	4	6	4	8	10	24	40						5		1	1		1					2	3	6
79		2	1	4	4	4	33	34								25		4								12	12	4
81		1	1	5	4	5	8	34	44							10			1	1								4
84	13600016	2	1	6	6	0	4	6	8	38	41					40			7	2						5	35	6
85	13600024		1	6	4	7	9	39	42																			4
87	13600019	2	1	6	2											6				2			1				6	2
88	13600017	5	2	6	4	8										5											5	4
89		7	1	7	4	7	9	38	45													2						4
91	13600530	2	1	7	5	10	13	40	42							20	2		2	4							20	5
93	13600023		2	8	4	7	9	39	42																			4
94	13600039	1	1	8	4	4	36	38								8					2					1	7	4
96	13600041		1	9	8	8	9	13	15	18	23	47	52															8
97	13600038	3	2	9	4	12	38	43								6	3		1			1					6	4
98	13600035	2	1	9	3	13	36									15		2									15	3
99	13600032	5	2	9	4	14	43	44								36	1			2							36	4
102	13600015	7	1	10	4	10	15	37	37								1	2			2							4
103	13600004	1	2	10	4	65	72	94								14	5		2	2	1					2	12	4
104	13600029	2	2	10	4	11	15	38	38								20		4		2							4
105	13600018	5	2	10	4	7											10			1	1							4
106	13600020	2	1	11	3	11	14	41									14		2	1								3
107	13600027	3	2	11	3	52	57									2	8									2		3
108	13600026	4	2	11	6	10	16	19	47	48							13			2			4					6
109	13600040	2	2	12	5	5	9	38	41								16			2	1		2					5
110	13600022	1	1	12	6	7	9	14	39	43						4	16	3	2	3	1	1					4	6
111	13600069	2	1	13	6	11	13	14	14	46	47						17	1	4	3	1							6
112	13600037	1	2	13	5	13	18	21	43	45							4											5
113		3	2	13	3												10	4	2		1			1				3
115	13600042	7	2	13	5	8	13	40	42							1	1		1	1		2					1	5
116	13600537	7	1	13	3	0	13	43								3	5			2		5				1	2	3
117	13600553	4	2	14	4	10	39	40									30		6	4								4
118	13600036	1	2	14	6	6	7	11	14	46	47						40			20							2	6
120	13600031	4	1	14	5	9	12	42	43								99	5	7	5	5		2					5
122	13600532	6	2	15	5	12	15	17	41	43							1			2								5
124	13600535	5	1	16	5	11	15	18	49	50							10		1	1								5
125	13600033	6	1	16	4	19	50	56									10	3										4
128	13600495	1	1	16	5	13	14	16	40	43							24			2	1							5
129	13600519	7	2	16	4	7	16	46	46							2	3			2							2	4
134	13600044	2	2	17	5	17	19	21	49	49							5											5
135	13600043	3	2	18	4	19	41	46										12	11	9	2							4
136	13600030	5	2	18	4	14	18	43	46								2	1		2	2							4
137	13600555	3	2	18	4	15	47	50									4				1							4
142	13600550	2	1	20	3	20	45	50											2	2								3
144	13600499	5	2	20	5	15	23	45	48							1		3	4								1	5
145	13600028	3	2	21	4	18	45	49										3										4
146	13600048	3	2	21	3	49	52										1	3	2	1	1							3
156	13600059	3	2	24	3	7	40									6			4	2							6	3
158	13600063	2	2	24	3	0	24												3	1	2					1		3
160	13600052	4	2	25	2	25										10	2	2		1	2					1	9	2
