cnt_id	local_id	country	cnt_age_l	cnt_age_r	cnt_sex	cnt_home	cnt_work	cnt_school	cnt_transport	cnt_leisure	cnt_otherplace	cnt_frequency	cnt_touch	cnt_duration
57	19	NL	6		F	x						1	1	5
58	19	NL	32		M	x						1	1	5
59	19	NL	36		F	x						1	1	5
60	19	NL	37		F						x	5	1	3
61	19	NL	40		M						x	5	2	3
62	19	NL	50	60	F						x	5	1	3
63	19	NL	50	60	M						x	5	2	3
64	19	NL	4	8	F						x	5	2	4
65	19	NL	10		F						x	5	1	4
66	19	NL	8		F						x	4	1	4
67	19	NL	3	6	M						x	5	2	4
68	19	NL	3	6	M						x	5	2	4
69	19	NL	3	6	M						x	5	2	4
70	19	NL	3	6	M						x	5	2	4
56	19	NL	4		F	x						1	1	5
71	20	NL	38		M	x						1	1	4
72	20	NL	33		F	x			x			1	1	5
73	20	NL	6		M	x		x		x		1	1	5
74	20	NL	1		M	x						1	1	5
75	20	NL	55	65	F			x				2	1	5
76	20	NL	6		F			x				2	1	3
77	20	NL	7		M			x				2	1	4
78	20	NL	6		M			x				2	1	4
79	20	NL	6		F			x				2	1	4
80	20	NL	6		F			x				2	1	4
81	20	NL	6		M			x		x				
82	20	NL	50	60	F					x		3		4
83	20	NL	30	40	M					x		3		3
84	21	NL	31		F	x						1	1	5
85	21	NL	0		F	x						1	1	5
86	21	NL	4		M			x				1	1	5
87	21	NL	4		F			x				1	1	5
88	21	NL	4		F			x				1	1	5
89	21	NL	5		F			x				1	1	5
90	21	NL	5		F			x				1	1	5
91	21	NL	5		F			x				1	1	5
92	21	NL	5		F			x				1	1	5
93	21	NL	5		F			x				1	1	5
94	21	NL	5		F			x				1	1	5
95	21	NL	5		F			x				1	1	5
96	21	NL	5		F			x				1	1	5
97	21	NL	5		F			x				1	1	5
98	21	NL	5		F			x				1	1	5
99	21	NL	5		M			x				1	1	5
100	21	NL	5		M			x				1	1	5
101	21	NL	5		M			x				1	1	5
102	21	NL	5		M			x				1	1	5
103	21	NL	5		M			x				1	1	5
104	21	NL	5		M			x				1	1	5
