country	local_id	type	day	month	year	participant_age	participant_gender	participant_occupation	participant_education	participant_nationality	hh_size	hh_age_1	hh_age_2	hh_age_3	hh_age_4	hh_age_5	hh_age_6	hh_age_7	hh_age_8	hh_age_9	hh_age_10	hh_age_11	hh_age_12	hh_age_13	hh_age_14	hh_age_15	hh_age_16	hh_age_17	hh_age_18	hh_age_19	hh_age_20	class_size	work_contacts	work_contact_nr	child_care	child_relationship	child_nationality	problems	diary_how	diary_missed_unsp	dayofweek
NL	19	3	4	6	2006	4	F	1	2	NL	5	4	4	6	32	36																			Y	1	NL	Y	1	2	0
NL	20	3	29	6	2006	6	M	3	5	NL	5	1	6	6	33	38																			Y		NL		4	2	4
NL	21	3	23	6	2006	4	M	3	2	NL	4	0	4	31	35																				Y	1	NL	Y	2	2	5
NL	22	3	4	7	2006	5	M	3	5	NL	4	4	5	37	37																				Y	1	NL	Y	4	4	2
NL	23	3	2	6	2006	4	M	1	5	NL	5	4	6	8	45	50																			Y	1	NL	Y	1	3	5
NL	24	3	3	7	2006	0	F	1	5	NL	3	0	31	31																					N	1	NL	N	1	1	1
NL	25	3	22	6	2006	3	M	1	5	NL	3	3	44	46																					Y	1	NL	N	1	1	4
NL	26	3	16	6	2006	4	M	3	2	NL	4	4	12	33	39																				Y	1	NL	Y	3	4	6
NL	27	3	18	6	2006	0	F	1	5	NL	4	0	2	36	36																				N	1	NL	N	2	2	0
NL	28	3	2	6	2006	3	F	3	2	NL	5	3	7	10	34	42																			Y	1	NL	N	3	1	5
NL	29	3	8	6	2006	1	F		0	SO	2	4	10	29																					Y	1	NL	Y	1		2
NL	30	3	4	6	2006	6	M	6	2	NL	4	3	6	33	34																				Y	1	NL	N	3	1	0
NL	31	3	4	4	2006	3	M	3	6	EU	4	4	6	37	43																				Y	1	EU	N	1	4	4
NL	32	3	9	6	2006	8	F	1	3	NL	5	4	6	8	40	42																			Y	1	NL	N	2	1	5
NL	33	3	20	5	2006	1	F	3	3	NL	5	2	6	8	37	47																			N	1	NL	N	3	1	6
NL	34	3	8	6	2006	5	F	1	3	NL	4	5	10	37	42																				Y	1	NL	N	2	4	4
NL	35	3	13	6	2006	2	F	1	6	NL	4	2	4	35	35																				Y	1	NL	N	1	2	2
NL	36	3	16	6	2006	6	F	1	2	NL	3	6	39	39																					Y	1	NL	N	2	3	5
NL	37	3					F	1	3	NL	4	0	2	34	41																				N	2	NL				4
NL	38	3	5	6	2006	0	M	1	6	NL	3	0	35	39																					Y	1	NL	N	2	1	1
NL	39	3	27	5	2006	8	M	1	6	NL	3	8	45	48																					Y	1	NL	Y	2	2	6
NL	40	3	18	5	2006	7	M	1	3	NL	3	5	7	43																					Y	2	NL	N	2	4	4
NL	41	3	22	5	2006	0	F	1	2	NL	3	0	31	33																					Y	1	NL	N	1	1	1
NL	42	3	18	5	2006	8	F	6	3	NL	5	6	8	11	41	47																			Y	1	NL	N	3	4	3
NL	43	3					F	1	5	NL	3	0	26	37																					N	1	DE				0
NL	44	3	30	4	2006	1	F	3	5	NL	4	1	3	34	48																				N	1	NL	N	2	1	0
NL	45	3	12	5	2006	6	F	1	5	NL	4	4	6	40	40																				Y	1	NL	N	3	2	5
NL	46	3	16	5	2006	0	M	3	6	NL	5	0	2	5	32	34																			N	1	NL	Y	2	3	2
NL	47	3	18	5	2006	7	F	5	2	NL	3	7	11	41																					Y	1	NL	N	1	4	6
NL	48	3	26	4	2006	4	F	1	3	NL	5	4	8	11	38	41																			Y	1	NL	Y	3	2	3
NL	49	3	8	4	2006	0	F	1	5	NL	4	0	2	30	34																				N	1	NL		1	1	6
NL	50	3	21	4	2006	6	M	3	5	NL	4	6	8	37	40																				Y	1	NL	N	2	2	5
NL	51	3	17	4	2006	1	F	3	2	NL	4	1	4	32	33																				N	1	NL	N	2	1	1
NL	52	3	19	4	2006	7	F	1	5	NL	4	3	7	39	39																				Y	1	NL	Y	1	2	3
NL	53	3	20	4	2006	5	F	1	5	NL	5	2	5	7	37	39																			Y	1	NL	Y	2	3	4
NL	54	3	16	4	2006	1	M	1	6	NL	4	1	1	42	46																				Y	1	NL	N	1	1	0
NL	55	3	5	4	2006	2	M	1	5	NL	4	2	4	33	51																				Y	2	NL	Y	1		3
NL	56	3	17	3	2006	2	M	1	2	NL	4	2	4	35	37																				Y	1	NL	Y	1	4	5
NL	57	3	20	3	2006	3	F	3	2	NL	5	3	6	9	37	42																			Y	1	NL	N	3	1	1
NL	58	3					M	1	2	NL	5	1	3	6	35	38																			Y	1	NL				4
NL	59	3	26	3	2006	1	F	1	6	NL	3	1	38	54																					N	1	NL	Y	2	2	0
NL	60	3	10	4	2006	2	F	1	3	NL	4	2	3	31	39																				N	1	NL		1	1	1
NL	61	3	4	4	2006	0	M	4	2	NL	3	0	40	43																					N	2	NL	N	1	1	6
NL	62	3	18	3	2006	0	F	1	2	NL	4	0	4	32	33																				N	1	NL	N	3	1	6
NL	63	3	10	4	2006	3	M	3	0	NL	6	0	3	24	26	50	50																		N	5	NL	N	1	1	6
NL	64	3	27	3	2006	5	M	1	5	EU	4	5	7	40	47																				Y	1	NL		1	1	1
NL	65	3					F	7	2	NL	5	3	6	8	35	37																			N	1	NL	N	1	1	2
NL	66	3	14	2	2006	0	F	1	2	NL	5	0	6	9	32	36																			N	1	NL	N	2	1	2
NL	67	3	13	2	2006	2	F	1	2	NL	5	0	2	5	39	50																			Y	1	NL		2	1	1
NL	68	3	15	2	2006	0	M	4	2	NL	4	0	2	30	35																				Y	1	NL	N	3	1	3
NL	69	3	19	2	2006	0	F	1	2	NL	2	0																							N	1	NL		2	1	0
NL	70	3	16	2	2006	8	F	6	2	NL	3	8	50	54																					Y	1	NL	Y	2	3	4
NL	71	3	27	2	2006	4	M	1	5	NL	5	0	4	7	36	38																			Y	1	NL	N	2	1	1
NL	72	3					M	6	2	NL	3	0	30	37																					N	1	NL	N	1	1	6
NL	73	3	11	2	2006	3	M	1	2	NL	3	3	38	42																					Y	1	NL	N	1	1	5
