age	sex	pop
0	man	94628
1	man	95879
2	man	98795
3	man	102502
4	man	103110
5	man	103786
6	man	105293
7	man	103411
8	man	102511
9	man	99057
10	man	99300
11	man	98962
12	man	101862
13	man	101592
14	man	103032
15	man	104244
16	man	104964
17	man	100501
18	man	99876
19	man	100848
20	man	100087
21	man	98256
22	man	97756
23	man	95531
24	man	96758
25	man	99011
26	man	101185
27	man	98066
28	man	98929
29	man	97955
30	man	99831
31	man	100439
32	man	105391
33	man	109403
34	man	118959
35	man	126059
36	man	132235
37	man	135864
38	man	130123
39	man	129656
40	man	130545
41	man	133354
42	man	135432
43	man	133575
44	man	130757
45	man	129562
46	man	126424
47	man	125088
48	man	121941
49	man	119389
50	man	117826
51	man	114457
52	man	113404
53	man	111856
54	man	112296
55	man	108488
56	man	108904
57	man	110398
58	man	113840
59	man	118996
60	man	122767
61	man	87335
62	man	90574
63	man	85380
64	man	78219
65	man	73599
66	man	74069
67	man	69635
68	man	67084
69	man	61465
70	man	59709
71	man	56592
72	man	53868
73	man	50928
74	man	49735
75	man	46368
76	man	44358
77	man	39800
78	man	36968
79	man	33039
80	man	30415
81	man	27197
82	man	24244
83	man	22191
84	man	18993
85	man	16384
86	man	14074
87	man	9878
88	man	7508
89	man	6333
90	man	4868
91	man	3686
92	man	2977
93	man	2082
94	man	1434
95	man	936
96	man	636
97	man	408
98	man	271
99	man	328
0	vrouw	89797
1	vrouw	91358
2	vrouw	94691
3	vrouw	97790
4	vrouw	98331
5	vrouw	99284
6	vrouw	101149
7	vrouw	98317
8	vrouw	97821
9	vrouw	95368
10	vrouw	93753
11	vrouw	94595
12	vrouw	97300
13	vrouw	97251
14	vrouw	98090
15	vrouw	99775
16	vrouw	99766
17	vrouw	96587
18	vrouw	95598
19	vrouw	96329
20	vrouw	97310
21	vrouw	95834
22	vrouw	95224
23	vrouw	93994
24	vrouw	95285
25	vrouw	99005
26	vrouw	100358
27	vrouw	98056
28	vrouw	98973
29	vrouw	97939
30	vrouw	98851
31	vrouw	100640
32	vrouw	105415
33	vrouw	109817
34	vrouw	119402
35	vrouw	124572
36	vrouw	130215
37	vrouw	132940
38	vrouw	127520
39	vrouw	126292
40	vrouw	126904
41	vrouw	129150
42	vrouw	131866
43	vrouw	129926
44	vrouw	128315
45	vrouw	127404
46	vrouw	124049
47	vrouw	123536
48	vrouw	120267
49	vrouw	118109
50	vrouw	115944
51	vrouw	113979
52	vrouw	111886
53	vrouw	110218
54	vrouw	110362
55	vrouw	106394
56	vrouw	107012
57	vrouw	108284
58	vrouw	111207
59	vrouw	117519
60	vrouw	120302
61	vrouw	86492
62	vrouw	90199
63	vrouw	85010
64	vrouw	78260
65	vrouw	74335
66	vrouw	76211
67	vrouw	73331
68	vrouw	71084
69	vrouw	66679
70	vrouw	65815
71	vrouw	63791
72	vrouw	62625
73	vrouw	60736
74	vrouw	61166
75	vrouw	58891
76	vrouw	58361
77	vrouw	54700
78	vrouw	53143
79	vrouw	49425
80	vrouw	47895
81	vrouw	45415
82	vrouw	43895
83	vrouw	41584
84	vrouw	37325
85	vrouw	34343
86	vrouw	31338
87	vrouw	23653
88	vrouw	19797
89	vrouw	17553
90	vrouw	14694
91	vrouw	12026
92	vrouw	10245
93	vrouw	7803
94	vrouw	5794
95	vrouw	4092
96	vrouw	2975
97	vrouw	2127
98	vrouw	1392
99	vrouw	2053
