age	sex	pop	deaths
0	man	116652	2166
1	man	114308	445
2	man	114277	193
3	man	113374	134
4	man	114646	101
5	man	112157	114
6	man	112946	68
7	man	116191	71
8	man	121321	88
9	man	128990	63
10	man	135581	79
11	man	96446	54
12	man	102073	51
13	man	98388	43
14	man	90649	66
15	man	86380	54
16	man	87964	64
17	man	85701	48
18	man	84650	70
19	man	80746	70
20	man	81044	76
21	man	79856	89
22	man	79524	79
23	man	78269	83
24	man	80584	85
25	man	79117	81
26	man	80541	91
27	man	76941	70
28	man	76830	69
29	man	74836	75
30	man	74517	73
31	man	74190	86
32	man	75117	77
33	man	77271	87
34	man	74979	108
35	man	75827	77
36	man	77486	97
37	man	65309	101
38	man	63857	101
39	man	65498	107
40	man	66039	120
41	man	64624	126
42	man	68255	151
43	man	66763	174
44	man	66130	192
45	man	61614	203
46	man	62746	220
47	man	63766	241
48	man	62424	271
49	man	61439	308
50	man	59457	321
51	man	58690	342
52	man	58191	394
53	man	56376	448
54	man	55881	466
55	man	53070	500
56	man	50202	498
57	man	49075	532
58	man	48052	592
59	man	46951	572
60	man	46305	667
61	man	43732	751
62	man	41909	732
63	man	41711	803
64	man	37771	841
65	man	37335	820
66	man	34544	915
67	man	33422	979
68	man	32639	960
69	man	30963	1046
70	man	29211	1085
71	man	27774	1130
72	man	25700	1235
73	man	23088	1238
74	man	22138	1167
75	man	20276	1362
76	man	18357	1283
77	man	17103	1293
78	man	15066	1325
79	man	13677	1328
80	man	12181	1333
81	man	10132	1265
82	man	8528	1181
83	man	7256	1132
84	man	5865	1023
85	man	4356	826
86	man	3714	752
87	man	2753	711
88	man	2132	557
89	man	1549	461
90	man	1146	412
91	man	814	276
92	man	589	242
93	man	387	183
94	man	293	112
95	man	161	97
96	man	104	58
97	man	60	31
98	man	37	31
99	man	22	20
0	vrouw	110502	1581
1	vrouw	109235	346
2	vrouw	107807	151
3	vrouw	107453	112
4	vrouw	108462	100
5	vrouw	106263	70
6	vrouw	106838	46
7	vrouw	110096	44
8	vrouw	114468	49
9	vrouw	123208	35
10	vrouw	128816	41
11	vrouw	92070	30
12	vrouw	97415	35
13	vrouw	93383	38
14	vrouw	85876	27
15	vrouw	82221	30
16	vrouw	84889	40
17	vrouw	82924	33
18	vrouw	81428	37
19	vrouw	77671	42
20	vrouw	77831	25
21	vrouw	76676	36
22	vrouw	76819	38
23	vrouw	75640	36
24	vrouw	78676	40
25	vrouw	77356	35
26	vrouw	78923	46
27	vrouw	76504	48
28	vrouw	77027	37
29	vrouw	75317	61
30	vrouw	75685	64
31	vrouw	76328	59
32	vrouw	78030	65
33	vrouw	79566	79
34	vrouw	77221	70
35	vrouw	78476	76
36	vrouw	79730	95
37	vrouw	66895	86
38	vrouw	65639	72
39	vrouw	67453	93
40	vrouw	68019	103
41	vrouw	66461	122
42	vrouw	70667	115
43	vrouw	69537	135
44	vrouw	69308	144
45	vrouw	65012	177
46	vrouw	65719	159
47	vrouw	66830	180
48	vrouw	66073	190
49	vrouw	64995	217
50	vrouw	63447	239
51	vrouw	62567	252
52	vrouw	61597	294
53	vrouw	59860	249
54	vrouw	59281	298
55	vrouw	57294	289
56	vrouw	54546	362
57	vrouw	53246	365
58	vrouw	52131	379
59	vrouw	51209	407
60	vrouw	50324	479
61	vrouw	47544	524
62	vrouw	45845	516
63	vrouw	45281	575
64	vrouw	41158	614
65	vrouw	40847	640
66	vrouw	38021	699
67	vrouw	36301	727
68	vrouw	35291	809
69	vrouw	33599	916
70	vrouw	32317	904
71	vrouw	30005	976
72	vrouw	28288	1075
73	vrouw	25796	1136
74	vrouw	24595	1181
75	vrouw	22143	1327
76	vrouw	20799	1238
77	vrouw	19123	1253
78	vrouw	16808	1385
79	vrouw	15327	1345
80	vrouw	13574	1392
81	vrouw	11559	1283
82	vrouw	9668	1216
83	vrouw	8437	1177
84	vrouw	6981	1121
85	vrouw	5338	1000
86	vrouw	4530	868
87	vrouw	3458	754
88	vrouw	2800	635
89	vrouw	2079	584
90	vrouw	1506	438
91	vrouw	1120	373
92	vrouw	804	299
93	vrouw	596	220
94	vrouw	369	164
95	vrouw	235	113
96	vrouw	168	81
97	vrouw	74	36
98	vrouw	24	25
99	vrouw	114	51

